"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIENSOL","EQ","07-Mar-2025","733.25","730.00","753.90","724.00","746.25","747.60","739.61","26,22,387","1,93,95,32,717.05","63,627","7,79,425","29.72"
"ADANIENSOL","EQ","10-Mar-2025","747.60","747.00","790.00","738.00","758.10","759.10","772.93","68,61,685","5,30,35,73,422.85","1,36,878","13,84,307","20.17"
"ADANIENSOL","EQ","11-Mar-2025","759.10","745.00","768.00","742.00","766.00","761.05","758.23","27,85,862","2,11,23,15,957.65","66,551","7,31,633","26.26"
"ADANIENSOL","EQ","12-Mar-2025","761.05","765.00","784.90","744.05","783.30","781.75","768.79","27,34,197","2,10,20,13,750.05","55,808","10,31,877","37.74"
"ADANIENSOL","EQ","13-Mar-2025","781.75","783.80","795.95","776.85","781.00","783.20","787.65","22,01,144","1,73,37,28,760.40","62,732","6,96,458","31.64"
"ADANIENSOL","EQ","17-Mar-2025","783.20","779.80","801.15","776.80","795.60","795.05","793.95","18,50,753","1,46,94,06,061.65","52,306","4,95,183","26.76"
"ADANIENSOL","EQ","18-Mar-2025","795.05","800.70","807.80","786.30","798.15","798.55","798.75","13,44,527","1,07,39,43,836.20","37,811","4,32,384","32.16"
"ADANIENSOL","EQ","19-Mar-2025","798.55","801.10","820.65","799.15","813.90","813.90","811.37","14,17,575","1,15,01,79,895.75","48,820","4,81,715","33.98"
"ADANIENSOL","EQ","20-Mar-2025","813.90","820.00","823.00","800.90","812.00","815.10","812.07","12,86,932","1,04,50,75,772.45","34,887","3,43,699","26.71"
"ADANIENSOL","EQ","21-Mar-2025","815.10","815.00","846.95","811.85","830.00","831.70","832.37","27,11,820","2,25,72,28,318.80","61,915","10,21,115","37.65"
"ADANIENSOL","EQ","24-Mar-2025","831.70","838.75","844.70","817.55","820.50","820.25","827.91","18,08,999","1,49,76,82,457.80","55,509","6,62,214","36.61"
"ADANIENSOL","EQ","25-Mar-2025","820.25","822.00","838.90","812.35","814.10","816.55","825.46","27,13,855","2,24,01,84,451.40","62,271","12,49,387","46.04"
"ADANIENSOL","EQ","26-Mar-2025","816.55","817.05","832.60","800.50","802.75","803.00","815.68","20,42,407","1,66,59,54,058.40","46,572","9,56,414","46.83"
"ADANIENSOL","EQ","27-Mar-2025","803.00","803.00","882.45","796.05","870.00","872.85","850.80","82,08,182","6,98,34,85,430.40","1,71,217","16,48,521","20.08"
"ADANIENSOL","EQ","28-Mar-2025","872.85","872.85","894.90","864.00","870.00","872.00","878.70","37,27,492","3,27,53,61,121.70","1,03,926","7,60,161","20.39"
"ADANIENSOL","EQ","01-Apr-2025","872.00","857.40","884.90","856.10","867.80","866.35","871.15","18,99,810","1,65,50,12,995.20","71,728","5,66,651","29.83"
"ADANIENSOL","EQ","02-Apr-2025","866.35","864.70","871.00","839.30","865.95","867.90","856.29","15,54,834","1,33,13,84,444.60","43,275","4,33,047","27.85"
"ADANIENSOL","EQ","03-Apr-2025","867.90","855.00","901.00","855.00","884.90","884.35","885.83","21,65,750","1,91,84,78,085.80","65,568","4,81,553","22.23"
"ADANIENSOL","EQ","04-Apr-2025","884.35","881.10","884.70","852.10","858.20","859.40","866.35","14,75,762","1,27,85,23,170.75","50,105","4,49,716","30.47"
"ADANIENSOL","EQ","07-Apr-2025","859.40","780.50","822.20","780.50","821.00","815.05","804.32","26,69,587","2,14,72,12,823.15","80,268","6,87,892","25.77"
"ADANIENSOL","EQ","08-Apr-2025","815.05","835.00","847.85","826.85","842.60","841.15","839.08","17,07,784","1,43,29,67,239.95","50,129","4,79,149","28.06"
"ADANIENSOL","EQ","09-Apr-2025","841.15","835.35","845.00","827.60","834.95","837.40","837.05","10,26,681","85,93,83,662.15","29,068","3,59,307","35.00"
"ADANIENSOL","EQ","11-Apr-2025","837.40","860.70","863.35","833.75","842.00","844.80","843.71","18,78,535","1,58,49,35,998.95","44,700","7,20,918","38.38"
"ADANIENSOL","EQ","15-Apr-2025","844.80","855.65","889.60","851.45","885.20","887.40","875.87","25,37,147","2,22,22,08,489.10","57,096","11,17,316","44.04"
"ADANIENSOL","EQ","16-Apr-2025","887.40","884.90","903.00","881.05","895.00","895.15","894.97","26,69,664","2,38,92,68,261.30","46,276","13,88,484","52.01"
"ADANIENSOL","EQ","17-Apr-2025","895.15","896.05","937.00","891.65","913.00","914.15","920.45","38,49,304","3,54,31,03,932.00","87,085","11,48,622","29.84"
"ADANIENSOL","EQ","21-Apr-2025","914.15","924.00","949.00","915.45","935.35","937.50","936.21","21,53,406","2,01,60,40,192.25","55,270","8,39,009","38.96"
"ADANIENSOL","EQ","22-Apr-2025","937.50","941.90","942.75","926.00","931.00","929.60","934.14","16,54,173","1,54,52,36,168.75","41,667","7,74,071","46.80"
"ADANIENSOL","EQ","23-Apr-2025","929.60","935.70","942.15","901.60","938.00","938.80","924.22","25,00,136","2,31,06,85,487.00","54,538","8,92,245","35.69"
"ADANIENSOL","EQ","24-Apr-2025","938.80","940.00","971.70","935.00","963.00","961.70","954.24","36,95,638","3,52,65,07,712.50","87,713","11,67,328","31.59"
"ADANIENSOL","EQ","25-Apr-2025","961.70","978.00","981.00","905.90","909.20","914.35","938.29","57,36,784","5,38,27,82,202.35","1,39,303","12,47,186","21.74"
"ADANIENSOL","EQ","28-Apr-2025","914.35","914.00","941.60","904.00","925.10","925.30","924.92","24,04,027","2,22,35,30,819.00","62,771","7,01,756","29.19"
"ADANIENSOL","EQ","29-Apr-2025","925.30","929.90","939.85","912.05","917.95","917.65","921.58","14,66,481","1,35,14,81,933.55","43,538","4,58,500","31.27"
"ADANIENSOL","EQ","30-Apr-2025","917.65","919.70","919.70","892.00","895.00","899.65","908.56","11,91,673","1,08,27,06,371.60","35,696","4,99,115","41.88"
"ADANIENSOL","EQ","02-May-2025","899.65","900.05","929.85","900.05","906.00","907.15","914.57","20,65,515","1,88,90,52,049.40","56,529","7,03,940","34.08"
"ADANIENSOL","EQ","05-May-2025","907.15","911.00","980.85","909.95","938.00","937.20","952.85","57,11,254","5,44,19,66,771.35","1,15,936","9,66,096","16.92"
"ADANIENSOL","EQ","06-May-2025","937.20","939.00","941.50","901.10","904.00","907.40","915.66","25,69,364","2,35,26,66,529.65","57,157","8,83,938","34.40"
"ADANIENSOL","EQ","07-May-2025","907.40","878.00","907.00","865.10","875.20","871.60","881.94","57,12,060","5,03,77,12,090.20","1,01,402","27,22,787","47.67"
"ADANIENSOL","EQ","08-May-2025","871.60","880.05","886.70","826.30","830.00","839.00","860.80","32,62,818","2,80,86,48,292.70","77,994","13,39,636","41.06"
"ADANIENSOL","EQ","09-May-2025","839.00","811.00","834.60","806.10","831.30","827.10","817.66","26,39,860","2,15,85,09,404.15","63,473","7,74,377","29.33"
"ADANIENSOL","EQ","12-May-2025","827.10","860.00","897.65","851.05","896.00","894.30","883.63","32,86,835","2,90,43,41,634.55","73,681","8,62,138","26.23"
