"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","01-Nov-2022","3,193.15","3,214.50","3,262.60","3,203.45","3,259.00","3,259.70","3,241.57","29,91,060","9,69,57,42,087.90","1,49,009","19,77,185","66.10"
"TCS","EQ","02-Nov-2022","3,259.70","3,270.00","3,270.00","3,222.05","3,239.00","3,241.70","3,240.22","14,05,955","4,55,55,96,591.55","94,898","9,70,651","69.04"
"TCS","EQ","03-Nov-2022","3,241.70","3,228.05","3,228.05","3,195.00","3,207.00","3,206.75","3,206.14","14,22,652","4,56,12,27,424.65","84,814","8,68,245","61.03"
"TCS","EQ","04-Nov-2022","3,206.75","3,217.00","3,220.05","3,166.15","3,220.00","3,217.40","3,192.04","14,64,013","4,67,31,87,843.45","72,621","8,41,065","57.45"
"TCS","EQ","07-Nov-2022","3,217.40","3,229.00","3,242.80","3,195.10","3,230.80","3,233.70","3,222.99","14,74,498","4,75,22,89,070.25","1,19,792","9,62,738","65.29"
"TCS","EQ","09-Nov-2022","3,233.70","3,249.80","3,249.80","3,201.65","3,210.00","3,216.05","3,223.43","11,62,267","3,74,64,80,719.50","76,155","7,03,211","60.50"
"TCS","EQ","10-Nov-2022","3,216.05","3,170.00","3,225.00","3,170.00","3,205.00","3,205.65","3,208.21","15,73,092","5,04,68,13,082.00","1,07,924","9,55,330","60.73"
"TCS","EQ","11-Nov-2022","3,205.65","3,269.60","3,341.60","3,255.05","3,315.00","3,315.95","3,315.61","32,65,394","10,82,67,79,196.30","1,96,708","20,31,567","62.22"
"TCS","EQ","14-Nov-2022","3,315.95","3,324.00","3,349.00","3,309.00","3,332.00","3,335.50","3,332.83","13,42,074","4,47,29,08,370.80","95,353","7,74,220","57.69"
"TCS","EQ","15-Nov-2022","3,335.50","3,321.00","3,339.95","3,292.00","3,338.90","3,332.60","3,313.99","14,00,708","4,64,19,36,509.75","83,190","7,91,681","56.52"
"TCS","EQ","16-Nov-2022","3,332.60","3,338.90","3,367.90","3,321.45","3,360.00","3,355.35","3,353.20","17,48,235","5,86,21,75,997.55","1,03,674","9,00,930","51.53"
"TCS","EQ","17-Nov-2022","3,355.35","3,340.00","3,360.00","3,317.75","3,342.20","3,349.00","3,342.56","14,17,986","4,73,97,01,185.90","88,776","8,34,384","58.84"
"TCS","EQ","18-Nov-2022","3,349.00","3,350.00","3,362.75","3,321.00","3,343.50","3,343.45","3,340.88","11,64,540","3,89,05,90,266.85","76,531","6,61,585","56.81"
"TCS","EQ","21-Nov-2022","3,343.45","3,322.50","3,333.70","3,273.00","3,282.80","3,283.50","3,295.97","13,04,194","4,29,85,80,759.95","84,298","8,16,050","62.57"
"TCS","EQ","22-Nov-2022","3,283.50","3,280.00","3,318.95","3,255.25","3,311.00","3,314.95","3,287.74","11,49,739","3,78,00,48,017.15","70,513","6,36,953","55.40"
"TCS","EQ","23-Nov-2022","3,314.95","3,330.00","3,330.00","3,291.00","3,306.00","3,308.30","3,309.10","11,50,011","3,80,55,02,589.00","66,618","6,36,807","55.37"
"TCS","EQ","24-Nov-2022","3,308.30","3,316.25","3,392.95","3,308.30","3,383.00","3,380.15","3,355.29","12,96,591","4,35,04,38,250.55","79,969","7,23,635","55.81"
"TCS","EQ","25-Nov-2022","3,380.15","3,383.00","3,403.35","3,348.00","3,384.00","3,389.65","3,374.67","15,88,981","5,36,22,86,252.40","1,00,208","8,40,407","52.89"
"TCS","EQ","28-Nov-2022","3,389.65","3,366.00","3,417.00","3,365.55","3,392.00","3,395.25","3,395.48","21,95,437","7,45,45,68,768.85","1,12,975","13,14,425","59.87"
"TCS","EQ","29-Nov-2022","3,395.25","3,383.00","3,429.00","3,383.00","3,390.00","3,397.35","3,411.59","15,76,028","5,37,67,68,884.00","1,25,430","10,21,300","64.80"
"TCS","EQ","30-Nov-2022","3,397.35","3,383.00","3,414.90","3,375.00","3,401.00","3,390.80","3,394.24","34,10,702","11,57,67,34,182.20","1,30,194","25,01,862","73.35"
"TCS","EQ","01-Dec-2022","3,390.80","3,425.00","3,480.00","3,420.00","3,473.20","3,475.65","3,465.56","21,80,856","7,55,78,96,562.50","1,42,859","10,34,714","47.45"
"TCS","EQ","02-Dec-2022","3,475.65","3,458.10","3,468.90","3,413.00","3,437.10","3,439.15","3,431.97","24,11,749","8,27,70,56,081.00","1,45,867","13,59,185","56.36"
"TCS","EQ","05-Dec-2022","3,439.15","3,433.00","3,439.15","3,407.00","3,425.00","3,425.90","3,418.70","14,75,065","5,04,28,03,817.70","97,290","9,20,179","62.38"
"TCS","EQ","06-Dec-2022","3,425.90","3,400.05","3,407.95","3,368.00","3,383.15","3,385.35","3,382.50","11,66,999","3,94,73,73,985.60","1,07,645","6,08,951","52.18"
"TCS","EQ","07-Dec-2022","3,385.35","3,368.30","3,393.70","3,354.00","3,370.00","3,380.60","3,373.53","11,67,505","3,93,86,18,103.80","69,818","5,93,778","50.86"
"TCS","EQ","08-Dec-2022","3,380.60","3,360.00","3,380.60","3,339.45","3,355.00","3,350.55","3,352.36","12,85,619","4,30,98,59,984.20","1,06,006","7,29,438","56.74"
"TCS","EQ","09-Dec-2022","3,350.55","3,374.10","3,374.10","3,276.35","3,290.00","3,292.75","3,309.46","17,97,896","5,95,00,67,690.90","1,41,806","10,10,701","56.22"
"TCS","EQ","12-Dec-2022","3,292.75","3,255.50","3,296.00","3,236.10","3,285.00","3,286.45","3,274.48","15,27,610","5,00,21,32,049.60","1,03,407","7,75,011","50.73"
"TCS","EQ","13-Dec-2022","3,286.45","3,277.20","3,336.45","3,267.80","3,335.00","3,332.10","3,310.82","13,78,016","4,56,23,57,640.75","73,699","7,43,148","53.93"
"TCS","EQ","14-Dec-2022","3,332.10","3,348.80","3,377.00","3,340.90","3,363.00","3,365.35","3,362.22","12,13,311","4,07,94,13,057.25","70,963","7,62,006","62.80"
"TCS","EQ","15-Dec-2022","3,365.35","3,358.80","3,364.75","3,298.95","3,303.90","3,305.10","3,325.60","14,15,694","4,70,80,31,740.70","80,331","8,79,917","62.15"
"TCS","EQ","16-Dec-2022","3,305.10","3,275.00","3,292.00","3,225.20","3,235.95","3,240.25","3,255.07","27,03,680","8,80,06,60,965.30","1,28,993","19,28,864","71.34"
"TCS","EQ","19-Dec-2022","3,240.25","3,227.00","3,245.50","3,194.50","3,205.25","3,202.05","3,210.19","21,20,965","6,80,87,07,801.70","1,02,305","15,49,691","73.07"
"TCS","EQ","20-Dec-2022","3,202.05","3,198.90","3,249.00","3,163.65","3,242.00","3,243.95","3,211.24","15,29,971","4,91,31,05,552.95","1,04,239","6,69,144","43.74"
"TCS","EQ","21-Dec-2022","3,243.95","3,249.00","3,283.05","3,240.00","3,262.25","3,268.55","3,260.50","14,32,566","4,67,08,87,164.80","1,06,805","7,13,178","49.78"
"TCS","EQ","22-Dec-2022","3,268.55","3,294.00","3,294.00","3,245.10","3,255.00","3,259.70","3,260.93","13,84,101","4,51,34,51,540.20","97,031","7,73,358","55.87"
"TCS","EQ","23-Dec-2022","3,259.70","3,217.00","3,266.85","3,217.00","3,231.00","3,228.35","3,239.40","13,60,281","4,40,64,95,701.55","1,14,542","7,06,644","51.95"
"TCS","EQ","26-Dec-2022","3,228.35","3,228.35","3,272.00","3,225.05","3,254.00","3,252.90","3,257.13","8,70,157","2,83,42,16,778.05","73,081","4,33,294","49.79"
"TCS","EQ","27-Dec-2022","3,252.90","3,269.20","3,273.80","3,231.50","3,262.00","3,259.50","3,251.33","8,35,883","2,71,77,28,954.70","69,823","3,99,272","47.77"
"TCS","EQ","28-Dec-2022","3,259.50","3,249.80","3,266.10","3,226.00","3,258.00","3,257.10","3,249.31","9,10,795","2,95,94,55,222.70","72,613","4,75,773","52.24"
"TCS","EQ","29-Dec-2022","3,257.10","3,231.10","3,271.50","3,228.00","3,271.25","3,268.75","3,253.85","10,37,927","3,37,72,54,033.45","68,726","5,84,056","56.27"
